"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2018",1323601.791,
"AUS","GDP","TOT","MLN_USD","A","2019",1335998.074,
"AUS","GDP","TOT","MLN_USD","A","2020",1429458.63,
"AUT","GDP","TOT","MLN_USD","A","2018",503557.209,
"AUT","GDP","TOT","MLN_USD","A","2019",515713.228,
"AUT","GDP","TOT","MLN_USD","A","2020",496544.035,
"BEL","GDP","TOT","MLN_USD","A","2018",600323.292,
"BEL","GDP","TOT","MLN_USD","A","2019",623602.985,
"BEL","GDP","TOT","MLN_USD","A","2020",612655.559,"P"
"CAN","GDP","TOT","MLN_USD","A","2018",1849252.231,
"CAN","GDP","TOT","MLN_USD","A","2019",1853244.739,
"CAN","GDP","TOT","MLN_USD","A","2020",1771474.029,
"CZE","GDP","TOT","MLN_USD","A","2018",437267.325,
"CZE","GDP","TOT","MLN_USD","A","2019",457257.666,
"CZE","GDP","TOT","MLN_USD","A","2020",445116.743,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",341312.248,
"DNK","GDP","TOT","MLN_USD","A","2020",351224.959,
"FIN","GDP","TOT","MLN_USD","A","2018",273463.021,
"FIN","GDP","TOT","MLN_USD","A","2019",277855.685,
"FIN","GDP","TOT","MLN_USD","A","2020",281659.079,
"FRA","GDP","TOT","MLN_USD","A","2018",3125379.86,
"FRA","GDP","TOT","MLN_USD","A","2019",3300063.768,"P"
"FRA","GDP","TOT","MLN_USD","A","2020",3166263.45,"P"
"DEU","GDP","TOT","MLN_USD","A","2018",4579333.448,"P"
"DEU","GDP","TOT","MLN_USD","A","2019",4624364.577,"P"
"DEU","GDP","TOT","MLN_USD","A","2020",4560919.076,"P"
"GRC","GDP","TOT","MLN_USD","A","2018",317881.481,
"GRC","GDP","TOT","MLN_USD","A","2019",325467.101,"P"
"GRC","GDP","TOT","MLN_USD","A","2020",299066.319,"P"
"HUN","GDP","TOT","MLN_USD","A","2018",311968.304,
"HUN","GDP","TOT","MLN_USD","A","2019",327479.222,
"HUN","GDP","TOT","MLN_USD","A","2020",324429.847,"P"
"ISL","GDP","TOT","MLN_USD","A","2018",20177.371,
"ISL","GDP","TOT","MLN_USD","A","2019",20985.056,
"ISL","GDP","TOT","MLN_USD","A","2020",19564.131,
"IRL","GDP","TOT","MLN_USD","A","2018",411558.745,
"IRL","GDP","TOT","MLN_USD","A","2019",431161.036,
"IRL","GDP","TOT","MLN_USD","A","2020",465413.328,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2650548.961,
"ITA","GDP","TOT","MLN_USD","A","2020",2496156.66,
"JPN","GDP","TOT","MLN_USD","A","2018",5340832.208,
"JPN","GDP","TOT","MLN_USD","A","2019",5354366.278,
"JPN","GDP","TOT","MLN_USD","A","2020",5315620.636,
"KOR","GDP","TOT","MLN_USD","A","2018",2220442.286,
"KOR","GDP","TOT","MLN_USD","A","2019",2225803.915,
"KOR","GDP","TOT","MLN_USD","A","2020",2344337.686,"P"
"LUX","GDP","TOT","MLN_USD","A","2018",71109.236,
"LUX","GDP","TOT","MLN_USD","A","2019",72752.124,
"LUX","GDP","TOT","MLN_USD","A","2020",74292.466,
"MEX","GDP","TOT","MLN_USD","A","2018",2535949.668,
"MEX","GDP","TOT","MLN_USD","A","2019",2533977.005,"P"
"MEX","GDP","TOT","MLN_USD","A","2020",2407279.071,"P"
"NLD","GDP","TOT","MLN_USD","A","2018",996447.288,
"NLD","GDP","TOT","MLN_USD","A","2019",1023422.035,
"NLD","GDP","TOT","MLN_USD","A","2020",1033704.443,"P"
"NZL","GDP","TOT","MLN_USD","A","2018",208377.269,
"NZL","GDP","TOT","MLN_USD","A","2019",226826.5,
"NZL","GDP","TOT","MLN_USD","A","2020",227831.574,
"NOR","GDP","TOT","MLN_USD","A","2018",370815.982,
"NOR","GDP","TOT","MLN_USD","A","2019",357234.972,
"NOR","GDP","TOT","MLN_USD","A","2020",336996.39,
"POL","GDP","TOT","MLN_USD","A","2018",1213408.803,
"POL","GDP","TOT","MLN_USD","A","2019",1283148.147,
"POL","GDP","TOT","MLN_USD","A","2020",1306336.642,
"PRT","GDP","TOT","MLN_USD","A","2018",359198.932,
"PRT","GDP","TOT","MLN_USD","A","2019",372075.682,
"PRT","GDP","TOT","MLN_USD","A","2020",351924.192,"P"
"SVK","GDP","TOT","MLN_USD","A","2018",170018.792,
"SVK","GDP","TOT","MLN_USD","A","2019",174350.394,
"SVK","GDP","TOT","MLN_USD","A","2020",171169.364,
"ESP","GDP","TOT","MLN_USD","A","2018",1904500.35,
"ESP","GDP","TOT","MLN_USD","A","2019",1965293.108,"P"
"ESP","GDP","TOT","MLN_USD","A","2020",1788269.453,"P"
"SWE","GDP","TOT","MLN_USD","A","2018",544594.071,
"SWE","GDP","TOT","MLN_USD","A","2019",561214.709,
"SWE","GDP","TOT","MLN_USD","A","2020",570111.065,
"CHE","GDP","TOT","MLN_USD","A","2018",610138.727,
"CHE","GDP","TOT","MLN_USD","A","2019",617711.279,
"CHE","GDP","TOT","MLN_USD","A","2020",619632.541,
"TUR","GDP","TOT","MLN_USD","A","2018",2302309.895,
"TUR","GDP","TOT","MLN_USD","A","2019",2241542.837,
"TUR","GDP","TOT","MLN_USD","A","2020",2297009.984,
"GBR","GDP","TOT","MLN_USD","A","2018",3161748.301,
"GBR","GDP","TOT","MLN_USD","A","2019",3277751.042,
"GBR","GDP","TOT","MLN_USD","A","2020",3121069.61,
"USA","GDP","TOT","MLN_USD","A","2018",20527159,
"USA","GDP","TOT","MLN_USD","A","2019",21372582,
"USA","GDP","TOT","MLN_USD","A","2020",20893746,
"CHL","GDP","TOT","MLN_USD","A","2018",481604.385,
"CHL","GDP","TOT","MLN_USD","A","2019",481296.363,
"CHL","GDP","TOT","MLN_USD","A","2020",480011.058,
"CHN","GDP","TOT","MLN_USD","A","2018",21739076.019,
"CHN","GDP","TOT","MLN_USD","A","2019",23547025.985,
"CHN","GDP","TOT","MLN_USD","A","2020",24274126.016,
"COL","GDP","TOT","MLN_USD","A","2018",747103.675,
"COL","GDP","TOT","MLN_USD","A","2019",788974.84,
"COL","GDP","TOT","MLN_USD","A","2020",756550.625,"P"
"EST","GDP","TOT","MLN_USD","A","2018",47920.841,
"EST","GDP","TOT","MLN_USD","A","2019",50223.221,
"EST","GDP","TOT","MLN_USD","A","2020",50048.508,
"IND","GDP","TOT","MLN_USD","A","2018",9029375.941,
"IND","GDP","TOT","MLN_USD","A","2019",9562005.61,
"IDN","GDP","TOT","MLN_USD","A","2018",3116958.911,
"IDN","GDP","TOT","MLN_USD","A","2019",3331833.185,
"IDN","GDP","TOT","MLN_USD","A","2020",3301775.405,"P"
"ISR","GDP","TOT","MLN_USD","A","2018",354478.165,
"ISR","GDP","TOT","MLN_USD","A","2019",362196.511,
"ISR","GDP","TOT","MLN_USD","A","2020",363897.821,
"RUS","GDP","TOT","MLN_USD","A","2018",4231840.387,
"RUS","GDP","TOT","MLN_USD","A","2019",4398115.281,
"RUS","GDP","TOT","MLN_USD","A","2020",4367291.715,
"SVN","GDP","TOT","MLN_USD","A","2018",80802.156,
"SVN","GDP","TOT","MLN_USD","A","2019",84936.451,
"SVN","GDP","TOT","MLN_USD","A","2020",83519.119,
"ZAF","GDP","TOT","MLN_USD","A","2018",747035.1,
"ZAF","GDP","TOT","MLN_USD","A","2019",758045.954,
"ZAF","GDP","TOT","MLN_USD","A","2020",713611.105,
"OECD","GDP","TOT","MLN_USD","A","2018",61204084.656,"P"
"OECD","GDP","TOT","MLN_USD","A","2019",62795679.438,"P"
"OECD","GDP","TOT","MLN_USD","A","2020",61595004.577,"E"
"OECDE","GDP","TOT","MLN_USD","A","2018",25508700.632,"P"
"OECDE","GDP","TOT","MLN_USD","A","2019",26146174.581,"P"
"OECDE","GDP","TOT","MLN_USD","A","2020",25491484.985,"P"
"LVA","GDP","TOT","MLN_USD","A","2018",59505.492,
"LVA","GDP","TOT","MLN_USD","A","2019",61018.925,
"LVA","GDP","TOT","MLN_USD","A","2020",59721.372,
"BRA","GDP","TOT","MLN_USD","A","2018",3146320.981,
"BRA","GDP","TOT","MLN_USD","A","2019",3239834.409,
"LTU","GDP","TOT","MLN_USD","A","2018",101909.482,
"LTU","GDP","TOT","MLN_USD","A","2019",107688.123,
"LTU","GDP","TOT","MLN_USD","A","2020",108666.647,
"SAU","GDP","TOT","MLN_USD","A","2018",1642519.382,
"SAU","GDP","TOT","MLN_USD","A","2019",1677381.92,
"SAU","GDP","TOT","MLN_USD","A","2020",1627278.286,
"EA19","GDP","TOT","MLN_USD","A","2018",16260729.88,
"EA19","GDP","TOT","MLN_USD","A","2019",16721546.723,
"EA19","GDP","TOT","MLN_USD","A","2020",16157719.079,
"ARG","GDP","TOT","MLN_USD","A","2018",1036428.172,
"ARG","GDP","TOT","MLN_USD","A","2019",1033557.798,
"ARG","GDP","TOT","MLN_USD","A","2020",942157.353,
"CRI","GDP","TOT","MLN_USD","A","2018",106583.345,
"CRI","GDP","TOT","MLN_USD","A","2019",114238.632,
"CRI","GDP","TOT","MLN_USD","A","2020",113312.463,"E"
"BGR","GDP","TOT","MLN_USD","A","2018",161688.343,
"BGR","GDP","TOT","MLN_USD","A","2019",170888.635,
"BGR","GDP","TOT","MLN_USD","A","2020",170328.984,
"HRV","GDP","TOT","MLN_USD","A","2018",118046.395,
"HRV","GDP","TOT","MLN_USD","A","2019",124168.376,
"HRV","GDP","TOT","MLN_USD","A","2020",116490.697,"P"
"CYP","GDP","TOT","MLN_USD","A","2018",35289.393,
"CYP","GDP","TOT","MLN_USD","A","2019",37340.707,
"CYP","GDP","TOT","MLN_USD","A","2020",35317.357,
"MLT","GDP","TOT","MLN_USD","A","2018",22084.091,
"MLT","GDP","TOT","MLN_USD","A","2019",23896.46,
"MLT","GDP","TOT","MLN_USD","A","2020",22284.479,
"ROU","GDP","TOT","MLN_USD","A","2018",571409.8,
"ROU","GDP","TOT","MLN_USD","A","2019",617320.391,
"ROU","GDP","TOT","MLN_USD","A","2020",620132.815,"P"
"MKD","GDP","TOT","MLN_USD","A","2018",34872.942,
"MKD","GDP","TOT","MLN_USD","A","2019",36438.458,
"MKD","GDP","TOT","MLN_USD","A","2020",34651.844,"P"
"ZMB","GDP","TOT","MLN_USD","A","2018",62571.975,
"ZMB","GDP","TOT","MLN_USD","A","2019",64606.932,
"HKG","GDP","TOT","MLN_USD","A","2018",465904.007,
"HKG","GDP","TOT","MLN_USD","A","2019",466255.342,
"HKG","GDP","TOT","MLN_USD","A","2020",443012.72,
"MDG","GDP","TOT","MLN_USD","A","2018",43174.289,"E"
"MDG","GDP","TOT","MLN_USD","A","2019",45922.492,"E"
"MDG","GDP","TOT","MLN_USD","A","2020",43198.592,"E"
"MAR","GDP","TOT","MLN_USD","A","2018",279075.124,
"MAR","GDP","TOT","MLN_USD","A","2019",291465.062,
"MAR","GDP","TOT","MLN_USD","A","2020",276311.171,
"SGP","GDP","TOT","MLN_USD","A","2018",567144.562,
"SGP","GDP","TOT","MLN_USD","A","2019",585034.475,
"SGP","GDP","TOT","MLN_USD","A","2020",559957.275,
"EU27_2020","GDP","TOT","MLN_USD","A","2018",19952115.731,
"EU27_2020","GDP","TOT","MLN_USD","A","2019",20604421.695,
"EU27_2020","GDP","TOT","MLN_USD","A","2020",20057948.372,
"ALB","GDP","TOT","MLN_USD","A","2018",38690.94,
"ALB","GDP","TOT","MLN_USD","A","2019",39952.812,"P"
"ALB","GDP","TOT","MLN_USD","A","2020",37836.489,"E"
"SRB","GDP","TOT","MLN_USD","A","2018",123717.733,
"SRB","GDP","TOT","MLN_USD","A","2019",130725.415,
"SRB","GDP","TOT","MLN_USD","A","2020",131730.99,
"GEO","GDP","TOT","MLN_USD","A","2018",54391.263,
"GEO","GDP","TOT","MLN_USD","A","2019",58120.644,
"GEO","GDP","TOT","MLN_USD","A","2020",54844.549,
"CMR","GDP","TOT","MLN_USD","A","2018",95846.284,
"CMR","GDP","TOT","MLN_USD","A","2019",100947.459,
"CMR","GDP","TOT","MLN_USD","A","2020",102628.408,
"SEN","GDP","TOT","MLN_USD","A","2018",53729.453,
"SEN","GDP","TOT","MLN_USD","A","2019",57096.22,
